epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,872.09,0.454,0.86721,1.03918,0.62945,0.85714,0.79822,0.619,0.84163,1.89768,1.6765,0.000848969,0.000848969,0.000848969
43,895.177,0.46316,0.7195,0.99044,0.90554,0.68636,0.80455,0.62374,0.81474,1.91862,1.60635,0.000834822,0.000834822,0.000834822
44,917.562,0.45032,0.69427,1.00496,0.87211,0.71429,0.79157,0.61738,0.80792,2.01405,1.52348,0.000820675,0.000820675,0.000820675
45,939.621,0.45505,0.66272,0.99294,0.91239,0.74541,0.81775,0.62268,0.8518,2.0878,1.63423,0.000806528,0.000806528,0.000806528
46,961.428,0.49247,0.67316,1.00495,0.85473,0.71429,0.8169,0.55988,0.86889,2.02977,1.67698,0.00079238,0.00079238,0.00079238
47,983.204,0.46389,0.72374,1.0006,0.78976,0.57143,0.70112,0.50984,0.97966,2.03628,1.85891,0.000778233,0.000778233,0.000778233
48,1004.88,0.46019,0.66105,1.02406,0.51768,0.78571,0.69097,0.50089,0.86795,2.08734,1.71081,0.000764086,0.000764086,0.000764086
49,1026.56,0.38355,0.62214,0.95609,0.50827,0.73909,0.59332,0.49756,0.91508,2.12544,1.79004,0.000749939,0.000749939,0.000749939
50,1049.16,0.43507,0.64214,0.97257,0.61855,0.57967,0.67344,0.53316,1.1056,1.98959,2.1652,0.000735792,0.000735792,0.000735792
51,1071,0.38327,0.62874,0.97421,0.84191,0.76206,0.78819,0.56925,1.31986,1.87916,2.36183,0.000721645,0.000721645,0.000721645
52,1092.91,0.39458,0.60991,0.97807,0.8709,0.78571,0.79578,0.60954,1.24474,1.76466,2.21025,0.000707498,0.000707498,0.000707498
53,1114.68,0.44942,0.65515,1.00311,0.84357,0.78571,0.84144,0.61983,1.16819,1.67858,2.01962,0.000693351,0.000693351,0.000693351
